KM_Driven,Car_Age,Owner_Number,Latitude,Longitude,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Manual,Brand_Hyundai,Brand_Kia,Brand_MG,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Mercedes-Benz,Brand_Other,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen
8873.0,3,2.0,22.9822325,88.439166,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8520.0,5,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
129921.0,8,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
70000.0,5,1.0,22.4884467,88.3560125,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
56000.0,11,1.0,22.4960484,88.3822296,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
14000.0,3,0.0,22.5726,88.3639,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
112000.0,9,1.0,22.5726,88.3639,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
30600.0,9,1.0,22.5264928,88.3323692,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19000.0,2,1.0,22.5044355,88.3721663,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
21755.0,7,2.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
30000.0,14,1.0,22.5726459,88.3638953,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
32000.0,6,1.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
57345.0,8,1.0,22.5726,88.3639,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
35000.0,5,1.0,30.6922961,76.7999692,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79000.0,12,2.0,22.5153313,88.3477052,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
29023.0,4,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
55000.0,5,1.0,22.5325844,88.3454429,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
13000.0,2,1.0,22.5726,88.3639,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39000.0,4,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
41140.0,8,1.0,22.5726,88.3639,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
46000.0,4,2.0,22.5280337,88.3659084,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6000.0,3,1.0,22.5044355,88.3721663,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
